gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
ARCH.5.1.7,Edge-Routing,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.1.9,Filterung von DNS,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.1.10,Webfilterung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.1.11,P-A-P-Struktur,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.1.12,Software-definierte Verbindungen,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.1.13,Produktdiversität,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.5.2,Blockieren direkter öffentlicher Verbindungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.6.1,Kontrollierte Verbindungsführung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.7.1,Dedizierte Hostsysteme für Server,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.7.2,Dedizierte Hardware,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.7.3,Entwicklungs- und Testumgebungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.8.1,Redundanz im Kernnetz,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.9.1,Dimensionierung der Netzanbindung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.9.2,Lastverteilung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.9.3,Automatische Skalierung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.9.4,Content Delivery Network,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.9.5,Schutz gegen volumetrische DoS-Angriffe,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ASST.1.1,Verfahren und Regelungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.1.1.2,Zuweisung der Aufgaben,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.1.1.3,Bekanntgabe,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.1,Inventar der Informationen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.1.1,Informationsverantwortung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.2,Inventar der Systeme,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.2.1,Aufdecken unautorisierter IT-Systeme,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.3,Inventar der Anwendungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.3.2,Software Bill of Materials (SBOM),normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.2.4,Klassifizierung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.1,Nutzungsvereinbarungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.1.1,Weitergabe nur bei Erforderlichkeit,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.2,Entfernung nicht erforderlicher Rest- oder Zusatzdaten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.3,Kennzeichnung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.4,Kennzeichnung ohne vertrauliche Daten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.5,Tainting,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.6,Verifikation,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.7,Pseudonymisierung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.8,Anonymisierung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.9,Aktualisierung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.10,Autorisierung von Datenlokationen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.11.1,Autorisierung von Peripheriegeräten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.13,Lagerung physischer Assets,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.14,Reserve physischer Assets,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.3.15,Ausleihe physischer Assets,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.4.1,Autorisierung von Schnittstellen,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.4.2,Vertraulichkeit und Integrität beim Transport,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.4.3,Autorisierung von Veröffentlichungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.4.4,Nachweis des Zugangs,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.4.5,Vereinbarungen zum Austausch,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.5.1,Wartungsbedarf dokumentieren,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.5.2,Geregelte Wartungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.5.5,Wartungsfenster,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.6.1,Abhandenkommen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.6.2,Rückkehr abhandengekommener Assets,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.6.3,Konformitätsprüfung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.6.4,Zurücksetzen auf Ausgangszustand,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.7.1,Nicht mehr benötigte Anwendungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.7.4,Wiederherstelltest,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.7.6,Autorisierung von Veräußerungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
ASST.7.7,Beschriftungen entfernen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BER.1.1.2,Zuweisung der Aufgaben,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.1.1.3,Bekanntgabe,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.1.3,Inventar Authentifizierungs- und Autorisierungssysteme,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.1,Person-Identität,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.2,Einschränkung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.3,Stammdatenprüfung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.4,Protokollierung von Stammdatenänderungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.5,Deaktivierung bei Weggang,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.2.6,Löschen nach Fristablauf,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.2,Einschränkung des Managements,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.4,Identität-Zugangskonto,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.10,Anmeldeversuchsgrenze an der Anwendung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.12,Sperre der Anwendung bei Inaktivität,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.13,Zugang löschen nach Fristablauf,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.14,Zugang nur durch zwei Personen,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.15,Keine Gruppenkonten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.17,Gruppenkonten - Wechsel dokumentieren,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.18,Gruppenkonten - Passwortwechsel bei Weggang,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.20,Dienstekonten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.3.21,Notfallzugang,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.5.1.2,JIT‑/JEA‑Berechtigungen,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.5.4,Kompromittierte Berechtigungsmittel,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.5.5,Systemfunktionen ohne Authentifizierung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.5.7,IT-System-Zugangskonto,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.2,Vorkonfigurierte Authentisierungsmittel,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.3,Deaktivierung einfacher Biometrie,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.6,Blockieren von Passwort Recycling,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.7,Trivialpasswörter,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.8,Kriterien für die Qualität von Passwörtern,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.6.9,Anlassbezogene Passwortwechsel,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
